Settlement ID,Order ID,Type,Order Date,Deposit Date,Potential Income,Potential Loss,Actual Profit
shopify_11499679678623,shopify_#3486,Refund,2025-05-20T11:26:29Z,2025-05-20T09:53:43Z,-10.00,0.00,-10.00
shopify_11498810769567,shopify_#3485,Order,2025-05-19T16:53:19Z,2025-05-19T16:53:20Z,10.00,0.59,9.41
shopify_11498810769567,shopify_#3485,Refund,2025-05-20T11:20:50Z,2025-05-19T16:53:20Z,-10.00,0.00,-10.00
shopify_11493507268767,shopify_#3484,Order,2025-05-15T17:30:31Z,2025-05-15T17:30:32Z,8.00,0.53,7.47
shopify_11493506613407,shopify_#3483,Order,2025-05-15T17:29:32Z,2025-05-15T17:29:32Z,7.00,0.50,6.50
shopify_11493504712863,shopify_#3482,Order,2025-05-15T17:27:51Z,2025-05-15T17:27:52Z,6.00,0.47,5.53
shopify_11491937157279,shopify_#3481,Order,2025-05-14T15:26:38Z,2025-05-14T15:26:38Z,5.00,0.45,4.55
shopify_11491936698527,shopify_#3480,Order,2025-05-14T15:25:57Z,2025-05-14T15:25:58Z,5.00,0.45,4.55
shopify_11488395886751,shopify_#3479,Order,2025-05-12T12:50:19Z,2025-05-12T12:50:54Z,10.00,0.59,9.41
shopify_11488395886751,shopify_#3479,Order,2025-05-12T12:50:19Z,2025-05-12T12:50:54Z,16.93,0.79,16.14
shopify_11488395886751,shopify_#3479,Order,2025-05-12T12:50:54Z,2025-05-12T12:50:54Z,16.93,0.79,16.14
shopify_11488393953439,shopify_#3478,Order,2025-05-12T12:47:46Z,2025-05-12T12:48:10Z,10.00,0.59,9.41
shopify_11488393953439,shopify_#3478,Order,2025-05-12T12:48:09Z,2025-05-12T12:48:10Z,16.93,0.79,16.14
shopify_11488373735583,shopify_#3477,Order,2025-05-12T12:24:13Z,2025-05-12T12:24:14Z,9.73,0.58,9.15
shopify_11484345696415,shopify_#3476,Order,2025-05-09T18:29:48Z,2025-05-09T18:29:49Z,21.98,0.94,21.04
shopify_11484344418463,shopify_#3475,Order,2025-05-09T18:29:05Z,2025-05-09T18:29:06Z,1.00,0.33,0.67
shopify_11484224880799,shopify_#3474,Order,2025-05-09T17:27:35Z,2025-05-09T17:27:36Z,21.98,0.94,21.04
shopify_11484222423199,shopify_#3473,Order,2025-05-09T17:25:15Z,2025-05-09T17:25:16Z,1.00,0.33,0.67
shopify_11483251572895,shopify_#3472,Order,2025-05-09T00:01:06Z,2025-05-09T00:02:12Z,90.00,2.91,87.09
shopify_11483251572895,shopify_#3472,Order,2025-05-09T00:02:12Z,2025-05-09T00:02:12Z,90.00,2.91,87.09
shopify_11483251572895,shopify_#3472,Refund,2025-05-09T00:02:26Z,2025-05-09T00:02:12Z,-10.00,0.00,-10.00
shopify_11483251572895,shopify_#3472,Refund,2025-05-09T13:23:56Z,2025-05-09T00:02:12Z,-20.00,0.00,-20.00
shopify_11483244789919,shopify_#3471,Order,2025-05-08T23:53:59Z,2025-05-08T23:54:33Z,75.70,2.50,73.20
shopify_11483244789919,shopify_#3471,Order,2025-05-08T23:54:33Z,2025-05-08T23:54:33Z,75.70,2.50,73.20
shopify_11483244789919,shopify_#3471,Refund,2025-05-08T23:55:30Z,2025-05-08T23:54:33Z,-32.44,0.00,-32.44
shopify_11483242037407,shopify_#3470,Order,2025-05-08T23:51:07Z,2025-05-08T23:51:42Z,64.88,2.18,62.70
shopify_11483242037407,shopify_#3470,Order,2025-05-08T23:51:42Z,2025-05-08T23:51:42Z,64.88,2.18,62.70
shopify_11483242037407,shopify_#3470,Refund,2025-05-08T23:52:19Z,2025-05-08T23:51:42Z,-64.88,0.00,-64.88
shopify_11483237351583,shopify_#3469,Order,2025-05-08T23:46:21Z,2025-05-08T23:47:14Z,24.90,1.02,23.88
shopify_11483237351583,shopify_#3469,Order,2025-05-08T23:47:14Z,2025-05-08T23:47:14Z,24.90,1.02,23.88
shopify_11483237351583,shopify_#3469,Refund,2025-05-08T23:47:37Z,2025-05-08T23:47:14Z,-10.00,0.00,-10.00
shopify_11483232272543,shopify_#3468,Order,2025-05-08T23:41:42Z,2025-05-08T23:42:11Z,34.90,1.31,33.59
shopify_11483232272543,shopify_#3468,Order,2025-05-08T23:42:11Z,2025-05-08T23:42:11Z,34.90,1.31,33.59
shopify_11483232272543,shopify_#3468,Refund,2025-05-08T23:42:33Z,2025-05-08T23:42:11Z,-34.90,0.00,-34.90
shopify_11483227324575,shopify_#3467,Order,2025-05-08T23:36:06Z,2025-05-08T23:38:12Z,70.00,2.33,67.67
shopify_11483227324575,shopify_#3467,Order,2025-05-08T23:37:59Z,2025-05-08T23:38:12Z,0.00,0.30,-0.30
shopify_11483227324575,shopify_#3467,Order,2025-05-08T23:37:59Z,2025-05-08T23:38:12Z,69.30,2.31,66.99
shopify_11483227324575,shopify_#3467,Order,2025-05-08T23:38:12Z,2025-05-08T23:38:12Z,69.30,2.31,66.99
shopify_11483227324575,shopify_#3467,Refund,2025-05-08T23:38:35Z,2025-05-08T23:38:12Z,-9.90,0.00,-9.90
shopify_11483219755167,shopify_#3466,Order,2025-05-08T23:28:59Z,2025-05-08T23:30:42Z,60.00,2.04,57.96
shopify_11483219755167,shopify_#3466,Order,2025-05-08T23:30:41Z,2025-05-08T23:30:42Z,60.00,2.04,57.96
shopify_11483219755167,shopify_#3466,Refund,2025-05-08T23:33:17Z,2025-05-08T23:30:42Z,-60.00,0.00,-60.00
shopify_11483215429791,shopify_#3465,Order,2025-05-08T23:23:53Z,2025-05-08T23:24:31Z,60.00,2.04,57.96
shopify_11483215429791,shopify_#3465,Order,2025-05-08T23:24:31Z,2025-05-08T23:24:31Z,60.00,2.04,57.96
shopify_11483215429791,shopify_#3465,Refund,2025-05-09T12:42:23Z,2025-05-08T23:24:31Z,-10.00,0.00,-10.00
shopify_11483211268255,shopify_#3464,Order,2025-05-08T23:18:33Z,2025-05-08T23:20:09Z,34.90,1.31,33.59
shopify_11483211268255,shopify_#3464,Order,2025-05-08T23:20:08Z,2025-05-08T23:20:09Z,34.90,1.31,33.59
shopify_11483211268255,shopify_#3464,Refund,2025-05-08T23:20:32Z,2025-05-08T23:20:09Z,-4.90,0.00,-4.90
shopify_11483165294751,shopify_#3463,Order,2025-05-08T22:30:44Z,2025-05-08T22:31:01Z,70.00,2.33,67.67
shopify_11483165294751,shopify_#3463,Order,2025-05-08T22:31:01Z,2025-05-08T22:31:01Z,70.00,2.33,67.67
shopify_11483165294751,shopify_#3463,Refund,2025-05-08T22:31:47Z,2025-05-08T22:31:01Z,-70.00,0.00,-70.00
shopify_11483160084639,shopify_#3462,Order,2025-05-08T22:27:29Z,2025-05-08T22:28:50Z,60.00,2.04,57.96
shopify_11483160084639,shopify_#3462,Order,2025-05-08T22:28:50Z,2025-05-08T22:28:50Z,60.00,2.04,57.96
shopify_11483160084639,shopify_#3462,Refund,2025-05-08T22:29:00Z,2025-05-08T22:28:50Z,-60.00,0.00,-60.00
shopify_11483157659807,shopify_#3461,Order,2025-05-08T22:24:32Z,2025-05-08T22:24:45Z,70.00,2.33,67.67
shopify_11483157659807,shopify_#3461,Order,2025-05-08T22:24:45Z,2025-05-08T22:24:45Z,70.00,2.33,67.67
shopify_11483157659807,shopify_#3461,Refund,2025-05-08T22:25:09Z,2025-05-08T22:24:45Z,-70.00,0.00,-70.00
shopify_11483155103903,shopify_#3460,Order,2025-05-08T22:21:50Z,2025-05-08T22:22:17Z,60.00,2.04,57.96
shopify_11483155103903,shopify_#3460,Order,2025-05-08T22:22:17Z,2025-05-08T22:22:17Z,60.00,2.04,57.96
shopify_11483155103903,shopify_#3460,Refund,2025-05-08T22:22:30Z,2025-05-08T22:22:17Z,-10.00,0.00,-10.00
shopify_11483152154783,shopify_#3459,Order,2025-05-08T22:18:27Z,2025-05-08T22:19:35Z,34.90,1.31,33.59
shopify_11483152154783,shopify_#3459,Order,2025-05-08T22:19:35Z,2025-05-08T22:19:35Z,34.90,1.31,33.59
shopify_11483152154783,shopify_#3459,Refund,2025-05-08T22:20:16Z,2025-05-08T22:19:35Z,-4.90,0.00,-4.90
shopify_11483145076895,shopify_#3458,Order,2025-05-08T22:12:30Z,2025-05-08T22:13:29Z,50.00,1.75,48.25
shopify_11483145076895,shopify_#3458,Order,2025-05-08T22:13:29Z,2025-05-08T22:13:29Z,50.00,1.75,48.25
